query,start,end
generate+chatgpt,2022-11-30T00:00:00.000-00:00,2022-12-31T23:59:59.999-00:00
generate+chatgpt,2023-01-01T00:00:00.000-00:00,2023-01-31T23:59:59.999-00:00
generate+chatgpt,2023-02-01T00:00:00.000-00:00,2023-02-28T23:59:59.999-00:00
generate+chatgpt,2023-03-01T00:00:00.000-00:00,2023-03-14T23:59:59.999-00:00
generate+chatgpt,2023-03-15T00:00:00.000-00:00,2023-03-31T23:59:59.999-00:00
generate+chatgpt,2023-04-01T00:00:00.000-00:00,2023-04-30T23:59:59.999-00:00
generate+chatgpt,2023-05-01T00:00:00.000-00:00,2023-05-31T23:59:59.999-00:00
generate+copilot,2022-11-30T00:00:00.000-00:00,2022-12-31T23:59:59.999-00:00
generate+copilot,2023-01-01T00:00:00.000-00:00,2023-01-31T23:59:59.999-00:00
generate+copilot,2023-02-01T00:00:00.000-00:00,2023-02-28T23:59:59.999-00:00
generate+copilot,2023-03-01T00:00:00.000-00:00,2023-03-31T23:59:59.999-00:00
generate+copilot,2023-04-01T00:00:00.000-00:00,2023-04-30T23:59:59.999-00:00
generate+copilot,2023-05-01T00:00:00.000-00:00,2023-05-31T23:59:59.999-00:00
generate+bard,2022-11-30T00:00:00.000-00:00,2022-12-31T23:59:59.999-00:00
generate+bard,2023-01-01T00:00:00.000-00:00,2023-01-31T23:59:59.999-00:00
generate+bard,2023-02-01T00:00:00.000-00:00,2023-02-28T23:59:59.999-00:00
generate+bard,2023-03-01T00:00:00.000-00:00,2023-03-31T23:59:59.999-00:00
generate+bard,2023-04-01T00:00:00.000-00:00,2023-04-30T23:59:59.999-00:00
generate+bard,2023-05-01T00:00:00.000-00:00,2023-05-31T23:59:59.999-00:00
